符合條件商品
資料日期：2026年  5月  8日
策略,	wMA20_redraw
"序號","代碼","商品","成交","漲幅%","總量","當前乖離率(%)","期間最大正乖離(%)","近高回檔幅度(%)","峰谷落差(%)","峰值距今(週)","谷底距今(週)","量/峰值量比值","MA20迴歸角度","壓力量(週加總)","支撐量(週加總)","高檔長黑爆量(次)","週MA20扣抵","成值","市值","產業","細產業","所有細產業",產業地位
23	,"5263.TW","智崴","103.5","-0.48","212","2.04","8.94","6.33","22.53","12","21","1.2","0.43","2665418","1137745","1","94.8","0.2","7648","上櫃文化創意","商用遊戲機","遊戲產業,商用遊戲機",台灣最大體感遊戲設備商
24	,"1342.TW","八貫","94.2","-1.46","416","2.03","14.81","11.13","22.45","11","23","0.55","1.46","2273205","1166972","1","86.5","0.4","7347","上市其他","塑膠皮布","塑膠皮布,塑化製品",台灣機能性皮布料及薄膜製造商
25	,"3032.TW","偉訓","70.7","-1.39","2348","1.32","9.34","7.34","6.55","12","15","2.56","5.51","29046138","15631876","1","78.8","1.7","7302","上市電子零組件","機殼","伺服器機殼,電源供應器,機殼,電子零件元件,週邊產品,電競週邊",台灣PC電源供應器及機殼製造廠，並跨入電競領域
26	,"4994.TW","傳奇","97.9","-0.61","15","-1","11.23","11","17.36","9","18","0.49","2.03","388389","149660","1","96.6","0","6498","上市資訊服務","PC遊戲","PC遊戲,遊戲產業,手機遊戲",台灣知名遊戲開發商
27	,"8482.TW","商億-KY","50","0","3","0.96","13.68","11.19","17.32","9","21","0.35","0.7","955008","57433","1","49.9","0","5372","上市居家生活","傢俱","家居用品,傢俱",主要出口至北美的高端室內傢俱製造商
28	,"6776.TW","展碁國際","58.3","0.87","526","0.8","30.54","22.78","35.83","7","17","0.09","0.57","4546861","2553142","1","49.3","0.3","5339","上市電子通路","電腦通路商","電腦通路商,3C通路商,電子通路,軟體業,軟體通路／代理,電器銷售,家電",台灣第二大電子通路代理商
29	,"1472.TW","三洋實業","91.2","-0.11","18","-0.23","8.41","7.97","14.23","7","14","0.1","1.26","754292","592926","1","90.1","0","4786","上市建材營造","基礎建設","基礎建設,營造工程",承建公共工程、商辦、住宅等營造工程
30	,"6492.TW","生華科","51.4","-1.15","413","2.19","32.21","22.71","40.45","12","23","0.17","1.29","3480396","2661840","1","41.4","0.2","4621","上櫃生技醫療","新藥研發","醫藥產業,新藥研發",小分子抗癌新藥研發廠
31	,"6629.TW","泰金-KY","119","0","40","1.3","11.09","8.81","17.24","12","15","0.93","0.86","595804","330632","1","128.5","0","4566","上櫃居家生活","金屬加工／製品","傳產其他,金屬加工/製品",泰國家飾鑄件大廠
32	,"4737.TW","華廣","58.8","0.51","125","-1.52","22.1","19.34","31","5","11","0.49","0.86","919282","637367","1","55","0.1","4544","上市生技醫療","血糖儀","血糖儀,體外診斷用醫材",以Bionime為自有品牌生產居家醫療用血糖機及測試片廠商
33	,"5706.TW","鳳凰","51.4","-0.96","201","0.82","12.2","10.14","20.37","3","9","0.25","0.32","3615780","739921","1","50.1","0.1","4364","上市觀光餐旅","旅行社","休閒娛樂,旅行社",台灣首家上市旅行社，提供國內外全方位旅遊產品
34	,"6794.TW","向榮生技","83.3","0.24","45","-0.97","10.8","10.62","24.25","10","22","0.44","0.29","106257","37614","0","81.6","0","4034","上市生技醫療","新藥研發","醫藥產業,新藥研發,生物製劑,醫藥研發外包服務,細胞治療",異體脂肪幹細胞新藥研發廠
35	,"8088.TW","品安","54","-2","2989","2.54","22.48","16.28","40","12","22","0.52","1.46","79094674","81115468","1","41.9","1.6","3289","上櫃半導體","記憶體模組","電子零件元件,DRAM模組,Flash模組,電子製造服務,記憶體模組,電腦系統業",台灣記憶體模組廠
36	,"3570.TW","大塚","166.5","1.22","55","-1.89","12.55","12.83","15.45","10","16","0.5","2.72","1137707","480122","1","168","0.1","2846","上櫃資訊服務","軟體通路／代理","系統整合,軟體業,套裝軟體,軟體通路／代理",工程繪圖CAD/CAM/CAE/CAID軟體代理商
